difficulty person_idx time_ms score
3 725 0 2
3 390 0 2
3 763 0 2
3 89 0 1
3 15 0 2
3 262 0 2
3 692 0 1
3 627 0 2
3 159 0 2
3 10 0 1
3 91 0 1
3 13 0 1
3 788 0 2
3 368 0 4
3 781 0 4
3 158 0 1
3 662 0 2
3 477 0 2
3 245 0 2
3 725 1 2
3 390 1 2
3 763 1 2
3 89 1 1
3 15 1 2
3 262 1 2
3 692 1 1
3 627 1 2
3 159 1 2
3 10 1 1
3 91 1 1
3 13 1 1
3 788 1 2
3 368 1 4
3 781 1 4
3 158 1 1
3 662 1 2
3 477 1 2
3 245 1 2
3 725 9 2
3 390 9 2
3 763 9 2
3 89 9 1
3 15 9 2
3 262 9 2
3 692 9 1
3 627 9 2
3 159 9 2
3 10 9 1
3 91 9 1
3 13 9 1
3 788 9 2
3 368 9 4
3 781 9 4
3 158 9 1
3 662 9 2
3 477 9 2
3 245 9 2
3 725 28 2
3 390 28 2
3 763 28 2
3 89 28 1
3 15 28 2
3 262 28 2
3 692 28 1
3 627 28 2
3 159 28 2
3 10 28 1
3 91 28 1
3 13 28 1
3 788 28 2
3 368 28 4
3 781 28 4
3 158 28 1
3 662 28 2
3 477 28 2
3 245 28 2
3 725 37 2
3 390 37 2
3 763 37 2
3 89 37 1
3 15 37 2
3 262 37 2
3 692 37 1
3 627 37 2
3 159 37 2
3 10 37 1
3 91 37 1
3 13 37 1
3 788 37 2
3 368 37 4
3 781 37 4
3 158 37 1
3 662 37 2
3 477 37 2
3 245 37 2
3 725 44 2
3 390 44 2
3 763 44 2
3 89 44 1
3 15 44 2
3 262 44 2
3 692 44 1
3 627 44 2
3 159 44 2
3 10 44 1
3 91 44 1
3 13 44 1
3 788 44 2
3 368 44 4
3 781 44 4
3 158 44 1
3 662 44 2
3 477 44 2
3 245 44 2
3 725 47 2
3 390 47 2
3 763 47 2
3 89 47 1
3 15 47 2
3 262 47 2
3 692 47 1
3 627 47 2
3 159 47 2
3 10 47 1
3 91 47 1
3 13 47 1
3 788 47 2
3 368 47 4
3 781 47 4
3 158 47 1
3 662 47 2
3 477 47 2
3 245 47 2
3 725 48 2
3 390 48 2
3 763 48 4
3 89 48 1
3 15 48 2
3 262 48 3
3 692 48 1
3 627 48 2
3 159 48 2
3 10 48 1
3 91 48 1
3 13 48 1
3 788 48 3
3 368 48 4
3 781 48 4
3 158 48 1
3 662 48 2
3 477 48 2
3 245 48 2
3 725 50 2
3 390 50 2
3 763 50 4
3 89 50 1
3 15 50 3
3 262 50 3
3 692 50 2
3 627 50 2
